,0,1,2,3,4,5
z_financial_rank_within_scope,0.30827715254981586,0.0963366101718171,-0.12523759322336328,0.38534644068727,-0.12730194915561657,-0.2890098305154532
z_state_financial_share_within_scope,-0.14923748092226613,0.3886237363149889,-0.20736396554598518,0.7897988264626633,-0.08722788729518927,-0.5656470809346711
z_company_project_count,0.9192388155425115,0.17677669529663673,-0.3535533905932739,0.7071067811865474,-0.3535533905932739,-0.3535533905932739
z_is_manufacturing,-0.7071067811865475,1.4142135623730951,-0.7071067811865475,1.4142135623730951,-0.25253813613805265,-0.7071067811865475
z_is_fab,-0.3015113445777636,-0.3015113445777636,-0.3015113445777636,3.3166247903553994,-0.3015113445777636,-0.3015113445777636
z_is_osat,-0.447213595499958,2.23606797749979,-0.447213595499958,-0.4472135954999579,-0.4472135954999579,-0.4472135954999579
z_is_ai_related,2.4899799195977463,-0.4016096644512493,-0.40160966445124935,-0.4016096644512493,-0.4016096644512493,-0.4016096644512493
z_is_telecom_related,-0.447213595499958,-0.4472135954999579,0.08944271909999162,-0.4472135954999579,0.5111012519999519,-0.4472135954999579
z_is_automotive_related,-0.3015113445777636,-0.3015113445777636,-0.3015113445777636,-0.3015113445777636,-0.3015113445777636,3.3166247903554
z_is_iot_related,-0.3535533905932738,-0.3535533905932738,2.1920310216782974,-0.3535533905932738,-0.3535533905932738,-0.3535533905932738
z_is_medical_related,-0.2425356250363329,-0.24253562503633294,1.5037208752252647,-0.24253562503633294,-0.2425356250363329,-0.24253562503633294
z_has_technology_partner,-0.447213595499958,1.3416407864998738,-0.447213595499958,1.3416407864998738,-0.4472135954999579,-0.4472135954999579
